Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;VixFix;Delta CloseVWAP
24/09/2009;9706,68;9735,93;9641,01;9665,19;104,98;0;56,8;9359,09;9017,11;NaN;NaN;#VALORE!
27/09/2009;9663,23;9823,67;9663,23;9789,36;111,37;0;63,02;9375,96;9024,79;NaN;NaN;#VALORE!
28/09/2009;9789,74;9834,48;9739,11;9742,2;110,96;0;59,52;9390,32;9031,93;NaN;NaN;#VALORE!
29/09/2009;9741,83;9776,82;9608,59;9712,28;114,07;0;57,34;9402,95;9038,7;NaN;NaN;#VALORE!
30/09/2009;9711,6;9711,67;9500,37;9509,28;123,61;0;45,25;9407,12;9043,38;NaN;NaN;#VALORE!
01/10/2009;9507,62;9524,78;9430,08;9487,67;123,58;0;44,18;9410,28;9047,8;NaN;NaN;#VALORE!
04/10/2009;9488,73;9625,06;9481,09;9599,75;124,38;0;50,68;9417,71;9053,29;NaN;NaN;#VALORE!
05/10/2009;9601,26;9774,32;9601,26;9731,25;128,24;0;57,01;9430;9060,04;NaN;NaN;#VALORE!
06/10/2009;9725,69;9740,32;9675,62;9725,58;125,35;0;56,67;9441,59;9066,66;NaN;NaN;#VALORE!
07/10/2009;9728,22;9836,67;9728,07;9786,87;128,73;0;59,47;9455,13;9073,83;NaN;NaN;#VALORE!
08/10/2009;9786,04;9865,01;9764,88;9864,94;129,14;0;62,76;9471,2;9081,7;NaN;NaN;#VALORE!
11/10/2009;9865,24;9931,82;9849,37;9885,8;129,93;0;63,61;9487,46;9089,7;NaN;NaN;#VALORE!
12/10/2009;9883,98;9895,09;9815,06;9871,06;122,99;0;62,52;9502,51;9097,47;NaN;NaN;#VALORE!
13/10/2009;9873,55;10027,73;9873,48;10015,86;124,23;0;68,26;9522,64;9106,61;NaN;NaN;#VALORE!
14/10/2009;10014,88;10062,94;9977,47;10062,94;123,55;0;69,88;9543,83;9116,13;NaN;NaN;#VALORE!
15/10/2009;10061,36;10061,66;9939,91;9995,91;120,88;0;64,82;9561,55;9124,88;NaN;NaN;#VALORE!
18/10/2009;9996,67;10117,96;9995,15;10092,19;122,84;0;68,36;9582,36;9134,51;NaN;NaN;#VALORE!
19/10/2009;10092,42;10098,39;9992,81;10041,48;118,37;0;64,67;9600,37;9143,53;NaN;NaN;#VALORE!
20/10/2009;10038,84;10119,47;9943,76;9949,36;115,78;0;58,49;9614,05;9151,55;NaN;NaN;#VALORE!
21/10/2009;9946,18;10105,19;9916,78;10081,31;122,47;0;63,82;9632,38;9160,8;NaN;NaN;#VALORE!
22/10/2009;10099,9;10109,57;9932,5;9972,18;124,84;0;57,27;9645,7;9168,88;NaN;NaN;#VALORE!
25/10/2009;9972,33;10072,32;9849,45;9867,96;128,29;0;51,8;9654,42;9175,83;NaN;NaN;#VALORE!
26/10/2009;9868,34;9947,54;9837,96;9882,17;131,49;0;52,46;9663,35;9182,86;NaN;NaN;#VALORE!
27/10/2009;9881,11;9902,42;9758,08;9762,69;133,87;0;46,62;9667,25;9188,63;NaN;NaN;#VALORE!
28/10/2009;9762,91;9969,91;9759,13;9962,58;141,77;0;55,54;9678,83;9196,33;NaN;NaN;#VALORE!
29/10/2009;9961,52;9962,13;9684,54;9712,73;155,74;0;45,34;9680,16;9201,47;NaN;NaN;#VALORE!
01/11/2009;9712,13;9858,59;9678,95;9789,44;162,86;0;48,47;9684,44;9207,32;NaN;NaN;#VALORE!
02/11/2009;9787,47;9787,47;9703,89;9771,91;157,78;0;47,8;9687,87;9212,94;NaN;NaN;#VALORE!
03/11/2009;9767,3;9928,04;9767,14;9802,14;163,17;0;49,11;9692,35;9218,8;NaN;NaN;#VALORE!
04/11/2009;9807,8;10013,07;9807,8;10005,96;169,44;0;56,97;9704,65;9226,63;NaN;NaN;#VALORE!
05/11/2009;10001,35;10044,5;9936,81;10023,42;168,36;0;57,57;9717,15;9234,56;NaN;NaN;#VALORE!
08/11/2009;10020,62;10228,23;10020,62;10226,94;175,65;0;63,93;9737,15;9244,43;NaN;NaN;#VALORE!
09/11/2009;10223,01;10260,8;10197,69;10246,97;167,61;0;64,49;9757,14;9254,41;NaN;NaN;#VALORE!
10/11/2009;10247,42;10341,97;10246,14;10291,26;161;0;65,77;9778,08;9264,73;NaN;NaN;#VALORE!
11/11/2009;10289,82;10321,64;10171,24;10197,47;159,09;0;60,79;9794,53;9274,01;NaN;NaN;#VALORE!
12/11/2009;10197,85;10305,69;10192,03;10270,47;151,29;0;63,13;9813,19;9283,92;NaN;NaN;#VALORE!
15/11/2009;10267,53;10434,24;10267,45;10406,96;155,38;0;67,08;9836,48;9295,1;NaN;NaN;#VALORE!
16/11/2009;10404,77;10438,17;10361,99;10437,42;150,51;0;67,91;9860,05;9306,46;NaN;NaN;#VALORE!
17/11/2009;10426,27;10432,66;10360,1;10426,31;140,97;0;67,25;9882,25;9317,61;NaN;NaN;#VALORE!
18/11/2009;10425,33;10425,33;10256,11;10332,44;133,27;0;61,76;9899,91;9327,7;NaN;NaN;#VALORE!
19/11/2009;10327,91;10342,72;10271,68;10318,16;125,51;0;60,94;9916,31;9337,56;NaN;NaN;#VALORE!
22/11/2009;10320,13;10495,61;10320,05;10450,95;132,08;0;65,5;9937,28;9348,64;NaN;NaN;#VALORE!
23/11/2009;10451,25;10453,97;10359,58;10433,71;127,33;0;64,45;9956,74;9359,44;NaN;NaN;#VALORE!
24/11/2009;10432,96;10481,48;10420,94;10464,4;116,59;0;65,51;9976,65;9370,43;NaN;NaN;#VALORE!
26/11/2009;10452,23;10452,23;10231,25;10309,92;125,55;0;56,38;9989,72;9379,78;NaN;NaN;#VALORE!
29/11/2009;10309,77;10364,34;10263,29;10344,84;117,94;0;57,81;10003,65;9389,38;NaN;NaN;#VALORE!
30/11/2009;10343,82;10501,28;10343,44;10471,58;124,7;0;62,61;10022;9400,15;NaN;NaN;#VALORE!
01/12/2009;10470,44;10513,52;10421,47;10452,68;124,43;0;61,49;10038,89;9410,62;NaN;NaN;#VALORE!
02/12/2009;10455,63;10507,63;10350,05;10366,15;124,95;0;56,49;10051,72;9420,13;NaN;NaN;#VALORE!
03/12/2009;10368,57;10516,7;10311,81;10388,9;131,46;0;57,47;10064,94;9429,77;NaN;NaN;#VALORE!
06/12/2009;10386,86;10443,16;10360,18;10390,11;125,48;0;57,52;10077,7;9439,32;NaN;NaN;#VALORE!
07/12/2009;10385,42;10385,65;10249,84;10285,97;130,05;0;51,4;10085,86;9447,75;NaN;NaN;#VALORE!
08/12/2009;10282,85;10342,27;10235,63;10337,05;132,15;0;53,99;10095,71;9456,6;NaN;NaN;#VALORE!
09/12/2009;10336;10444,6;10335,77;10405,83;127,76;0;57,29;10107,87;9466,04;NaN;NaN;#VALORE!
10/12/2009;10403,41;10484,05;10400,08;10471,5;128,69;0;60,22;10122,13;9476,05;NaN;NaN;#VALORE!
13/12/2009;10471,28;10514,66;10471,28;10501,05;119,11;0;61,5;10136,99;9486,25;NaN;NaN;#VALORE!
14/12/2009;10499,31;10499,31;10426,69;10452;117,68;0;58,15;10149,35;9495,86;NaN;NaN;#VALORE!
15/12/2009;10449,81;10509,97;10427,59;10441,12;119,24;0;57,41;10160,79;9505,26;NaN;NaN;#VALORE!
16/12/2009;10439,99;10440,06;10307,96;10308,26;112,1;0;49,12;10166,57;9513,25;NaN;NaN;#VALORE!
17/12/2009;10309,39;10372,35;10263,9;10328,89;112,63;0;50,32;10172,94;9521,37;NaN;NaN;#VALORE!
20/12/2009;10330,1;10458,05;10329,8;10414,14;110,58;0;55,03;10182,4;9530,25;NaN;NaN;#VALORE!
21/12/2009;10414,67;10479,82;10414,59;10464,93;108,7;0;57,62;10193,48;9539,55;NaN;NaN;#VALORE!
22/12/2009;10464,32;10492,06;10437,8;10466,44;101,32;0;57,69;10204,18;9548,77;NaN;NaN;#VALORE!
23/12/2009;10467,12;10522,06;10461,68;10520,1;90,99;0;60,47;10216,57;9558,44;NaN;NaN;#VALORE!
27/12/2009;10517,91;10551,61;10506,34;10547,08;88,3;0;61,83;10229,53;9568,28;NaN;NaN;#VALORE!
28/12/2009;10547,83;10580,33;10544,28;10545,41;80,85;0;61,69;10241,92;9578;NaN;NaN;#VALORE!
29/12/2009;10544,36;10550,7;10505,66;10548,51;76,45;0;61,86;10253,94;9587,66;NaN;NaN;#VALORE!
30/12/2009;10548,51;10555,01;10423,13;10428,05;78,1;0;51,98;10260,77;9596,02;NaN;NaN;#VALORE!
03/01/2010;10430,69;10604,97;10430,69;10583,96;84,74;0;60,72;10273,44;9605,85;NaN;NaN;#VALORE!
04/01/2010;10584,56;10584,56;10522,52;10572,02;86,07;0;59,83;10285,15;9615,46;NaN;NaN;#VALORE!
