Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP
20/07/2021;4327,6;4360,4;4323,6;4359,2;46,2;38650;57,59;4259,19;3946,66;4334,94;24,26
21/07/2021;4364,3;4369,9;4349,9;4367,9;44,96;30720;58,63;4263,45;3950,85;4336,64;31,26
22/07/2021;4381,9;4415,8;4378,4;4411,6;47,46;21560;63,44;4269,26;3955,43;4339,25;72,35
25/07/2021;4398,2;4422,6;4383,7;4422,6;47,38;29880;64,55;4275,28;3960,08;4343,09;79,51
26/07/2021;4413,5;4419,7;4372,2;4401,7;48,66;51980;60,75;4280,23;3964,48;4347,45;54,25
27/07/2021;4397,9;4415,2;4385,7;4401;45,66;47528;60,63;4284,97;3968,82;4350,85;50,15
28/07/2021;4405,6;4429,7;4401,9;4419,2;43,99;24966;62,83;4290,23;3973,3;4353,06;66,14
29/07/2021;4380,2;4411,7;4377,6;4396,7;44,31;40374;58,47;4294,41;3977,51;4355,23;41,47
01/08/2021;4419,8;4426,3;4385;4387,7;45,33;35834;56,78;4298,07;3981,59;4392,47;-4,77
02/08/2021;4399,9;4423,5;4373;4423,5;46,48;36594;61,55;4302,99;3985,99;4402,54;20,96
03/08/2021;4421,6;4422,4;4399,5;4402,5;45,52;29026;57,54;4306,89;3990,14;4402,53;-0,03
04/08/2021;4403,4;4430,2;4402,7;4429;43,7;18119;61;4311,68;3994,5;4405,53;23,47
05/08/2021;4426,9;4440,2;4424,1;4436,7;38,04;20949;61,97;4316,58;3998,9;4409,14;27,56
08/08/2021;4425,3;4438,9;4423,8;4433,1;33,46;20768;61,2;4321,15;4003,22;4411,6;21,5
09/08/2021;4428,5;4445,1;4427,8;4436,8;32,07;19827;61,72;4325,69;4007,54;4413,86;22,94
10/08/2021;4434,7;4450,2;4428;4447,5;32,23;22304;63,27;4330,46;4011,92;4416,94;30,56
11/08/2021;4443,6;4462;4436,5;4461;30,63;14946;65,18;4335,58;4016,38;4419,48;41,52
